type,title,isAdult,startYear,runtimeMinutes,isDrama,isComedy,isShort,isDocumentary,isTalkShow,isRomance,isFamily,isNews,isAnimation,isRealityTV,isMusic,isCrime,isAdventure,isGameShow,isMystery,isSport,isFantasy,isHorror,isThriller,isSciFi,isHistory,isBiography,isMusical,isWestern,isWar,isFilmNoir,averageRating,numVotes,directorsExperience,actorsExperience,producersExperience
tvMovie,La méthode Claire,False,2012,83,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,9,31,268,51
short,Missing,False,1993,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.9,7,0,96,0
short,Baby Shoes,False,2012,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.1,8,0,76,0
tvMovie,Cocked,False,2015,49,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1,620,75,533,0
short,Submarine Sandwich,False,2014,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.0,249,0,31,0
short,Pig Lady,False,2011,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.5,13,6,165,19
short,Il marito perfetto,False,2011,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5.6,185,12,14,0
short,The Dream Machine,False,1983,35,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.2,18,170,247,30
video,The Dish on Dolls,False,2006,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.9,7,0,270,0
short,Antennas to Beyond,False,2014,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,7.5,11,6,4,0
short,It's Complicated,False,2017,18,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.2,5,1,104,5
video,Teenage Peach Fuzz 3,True,2007,150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.8,6,0,2670,0
tvMovie,Chesapeake Bay by Air,False,2010,57,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,7,0,0,0
short,Hair & Nails,False,2006,15,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.5,10,34,9,0
video,Desert Desire,False,2009,30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,5,3,45,0
tvMovie,25 Most Hilarious Holiday TV Moments,False,2010,60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.8,5,0,26,15
movie,El cianuro... ¿solo o con leche?,False,1994,80,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.1,57,100,1247,0
video,Anders Matthesen: Hva' snakker du om?,False,2001,119,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.6,445,0,122,0
short,Zawadi,False,2015,12,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.3,10,2,4,0
video,Cold Chisel Ringside,False,2004,152,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.4,7,3,52,0
movie,Things,False,1995,110,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.4,75,72,21,5
movie,Elle,False,2013,57,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6.8,8,1,3,2
movie,Rain from Stars,False,2013,91,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.2,37,10,720,8
